Game,Draw,Ball 1,Ball 2,Ball 3,Ball 4,,,
Pick 4 Plus,4/7/2024 EVE,2,3,5,8,,,
Pick 4 Plus,4/6/2024 DAY,0,6,8,1,,,
Pick 4 Plus,4/6/2024 EVE,8,9,7,5,,,
Pick 4 Plus,4/5/2024 DAY,8,3,6,7,,,
Pick 4 Plus,4/5/2024 EVE,1,7,3,5,,,
Pick 4 Plus,4/4/2024 DAY,5,2,4,9,,,
Pick 4 Plus,4/4/2024 EVE,9,1,0,3,,,
Pick 4 Plus,4/3/2024 DAY,8,9,7,6,,,
Pick 4 Plus,4/3/2024 EVE,0,2,3,0,,,
Pick 4 Plus,4/2/2024 DAY,9,3,2,8,,,
Pick 4 Plus,4/2/2024 EVE,5,5,5,8,,,
Pick 4 Plus,4/1/2024 DAY,1,3,9,1,,,
Pick 4 Plus,4/1/2024 EVE,4,6,3,1,,,
Pick 4 Plus,3/31/2024 DAY,0,3,8,0,,,
Pick 4 Plus,3/31/2024 EVE,2,5,7,9,,,
Pick 4 Plus,3/30/2024 DAY,9,8,1,3,,,
Pick 4 Plus,3/30/2024 EVE,7,1,0,0,,,
Pick 4 Plus,3/29/2024 DAY,3,6,4,0,,,
Pick 4 Plus,3/29/2024 EVE,8,5,6,4,,,
Pick 4 Plus,3/28/2024 DAY,4,8,3,8,,,
Pick 4 Plus,3/28/2024 EVE,8,1,3,5,,,
Pick 4 Plus,3/27/2024 DAY,6,4,1,3,,,
Pick 4 Plus,3/27/2024 EVE,9,0,6,4,,,
Pick 4 Plus,3/26/2024 DAY,3,5,3,7,,,
Pick 4 Plus,3/26/2024 EVE,7,6,3,9,,,
Pick 4 Plus,3/25/2024 DAY,9,9,7,8,,,
Pick 4 Plus,3/25/2024 EVE,5,0,4,2,,,
Pick 4 Plus,3/24/2024 DAY,9,7,2,0,,,
Pick 4 Plus,3/24/2024 EVE,5,5,6,0,,,
Pick 4 Plus,3/23/2024 DAY,3,8,2,9,,,
Pick 4 Plus,3/23/2024 EVE,3,5,4,1,,,
Pick 4 Plus,3/22/2024 DAY,0,9,6,2,,,
Pick 4 Plus,3/22/2024 EVE,6,9,9,5,,,
Pick 4 Plus,3/21/2024 DAY,5,0,6,9,,,
Pick 4 Plus,3/21/2024 EVE,8,5,8,9,,,
Pick 4 Plus,3/20/2024 DAY,1,3,3,9,,,
Pick 4 Plus,3/20/2024 EVE,3,8,9,3,,,
Pick 4 Plus,3/19/2024 DAY,9,1,4,1,,,
Pick 4 Plus,3/19/2024 EVE,1,6,6,3,,,
Pick 4 Plus,3/18/2024 DAY,8,9,0,3,,,
Pick 4 Plus,3/18/2024 EVE,4,8,0,9,,,
Pick 4 Plus,3/17/2024 DAY,9,9,6,2,,,
Pick 4 Plus,3/17/2024 EVE,9,0,1,5,,,
Pick 4 Plus,3/16/2024 DAY,2,9,9,4,,,
Pick 4 Plus,3/16/2024 EVE,0,2,8,3,,,
Pick 4 Plus,3/15/2024 DAY,0,6,8,7,,,
Pick 4 Plus,3/15/2024 EVE,9,9,2,0,,,
Pick 4 Plus,3/14/2024 DAY,1,7,6,3,,,
Pick 4 Plus,3/14/2024 EVE,9,1,7,8,,,
Pick 4 Plus,3/13/2024 DAY,7,1,9,7,,,
Pick 4 Plus,3/13/2024 EVE,6,3,6,0,,,
Pick 4 Plus,3/12/2024 DAY,8,8,8,2,,,
Pick 4 Plus,3/12/2024 EVE,9,5,6,8,,,
Pick 4 Plus,3/11/2024 DAY,4,2,9,0,,,
Pick 4 Plus,3/11/2024 EVE,8,6,6,3,,,
Pick 4 Plus,3/10/2024 DAY,8,3,2,9,,,
Pick 4 Plus,3/10/2024 EVE,5,0,5,0,,,
Pick 4 Plus,3/9/2024 DAY,4,9,4,0,,,
Pick 4 Plus,3/9/2024 EVE,5,5,8,3,,,
Pick 4 Plus,3/8/2024 DAY,1,2,2,6,,,
Pick 4 Plus,3/8/2024 EVE,7,8,5,8,,,
Pick 4 Plus,3/7/2024 DAY,7,9,2,3,,,
Pick 4 Plus,3/7/2024 EVE,3,0,4,8,,,
Pick 4 Plus,3/6/2024 DAY,0,2,9,6,,,
Pick 4 Plus,3/6/2024 EVE,2,5,0,6,,,
Pick 4 Plus,3/5/2024 DAY,6,7,5,3,,,
Pick 4 Plus,3/5/2024 EVE,9,8,3,3,,,
Pick 4 Plus,3/4/2024 DAY,7,8,6,3,,,
Pick 4 Plus,3/4/2024 EVE,8,9,6,8,,,
Pick 4 Plus,3/3/2024 DAY,7,2,4,5,,,
Pick 4 Plus,3/3/2024 EVE,3,5,5,4,,,
Pick 4 Plus,3/2/2024 DAY,3,0,4,2,,,
Pick 4 Plus,3/2/2024 EVE,2,9,2,1,,,
Pick 4 Plus,3/1/2024 DAY,7,3,1,0,,,
Pick 4 Plus,3/1/2024 EVE,1,4,5,8,,,
Pick 4 Plus,2/29/2024 DAY,4,1,7,5,,,
Pick 4 Plus,2/29/2024 EVE,6,2,6,0,,,
Pick 4 Plus,2/28/2024 DAY,8,3,6,5,,,
Pick 4 Plus,2/28/2024 EVE,3,7,1,5,,,
Pick 4 Plus,2/27/2024 DAY,0,4,8,5,,,
Pick 4 Plus,2/27/2024 EVE,2,2,2,5,,,
Pick 4 Plus,2/26/2024 DAY,2,2,1,7,,,
Pick 4 Plus,2/26/2024 EVE,5,2,2,1,,,
Pick 4 Plus,2/25/2024 DAY,8,0,7,4,,,
Pick 4 Plus,2/25/2024 EVE,9,0,8,4,,,
Pick 4 Plus,2/24/2024 DAY,0,6,8,4,,,
Pick 4 Plus,2/24/2024 EVE,5,4,5,8,,,
Pick 4 Plus,2/23/2024 DAY,8,8,6,5,,,
Pick 4 Plus,2/23/2024 EVE,6,7,4,3,,,
Pick 4 Plus,2/22/2024 DAY,1,7,1,7,,,
Pick 4 Plus,2/22/2024 EVE,2,7,5,5,,,
Pick 4 Plus,2/21/2024 DAY,1,1,3,2,,,
Pick 4 Plus,2/21/2024 EVE,2,7,8,9,,,
Pick 4 Plus,2/20/2024 DAY,6,1,9,6,,,
Pick 4 Plus,2/20/2024 EVE,8,4,6,4,,,
Pick 4 Plus,2/19/2024 DAY,4,5,4,6,,,
Pick 4 Plus,2/19/2024 EVE,7,6,1,6,,,
Pick 4 Plus,2/18/2024 DAY,3,5,2,0,,,
Pick 4 Plus,2/18/2024 EVE,2,9,5,1,,,
Pick 4 Plus,2/17/2024 DAY,2,5,1,2,,,
Pick 4 Plus,2/17/2024 EVE,7,4,2,0,,,
Pick 4 Plus,2/16/2024 DAY,7,3,4,2,,,
Pick 4 Plus,2/16/2024 EVE,3,9,1,8,,,
Pick 4 Plus,2/15/2024 DAY,0,5,8,6,,,
Pick 4 Plus,2/15/2024 EVE,8,6,2,8,,,
Pick 4 Plus,2/14/2024 DAY,6,0,1,8,,,
Pick 4 Plus,2/14/2024 EVE,7,6,7,2,,,
Pick 4 Plus,2/13/2024 DAY,6,4,7,8,,,
Pick 4 Plus,2/13/2024 EVE,6,6,5,3,,,
Pick 4 Plus,2/12/2024 DAY,3,2,8,1,,,
Pick 4 Plus,2/12/2024 EVE,9,4,9,1,,,
Pick 4 Plus,2/11/2024 DAY,0,0,3,5,,,
Pick 4 Plus,2/11/2024 EVE,0,2,5,7,,,
Pick 4 Plus,2/10/2024 DAY,2,3,7,8,,,
Pick 4 Plus,2/10/2024 EVE,6,1,1,3,,,
Pick 4 Plus,2/9/2024 DAY,4,3,7,8,,,
Pick 4 Plus,2/9/2024 EVE,0,8,7,7,,,
Pick 4 Plus,2/8/2024 DAY,5,6,8,3,,,
Pick 4 Plus,2/8/2024 EVE,6,6,4,1,,,
Pick 4 Plus,2/7/2024 DAY,5,9,5,3,,,
Pick 4 Plus,2/7/2024 EVE,7,4,7,8,,,
Pick 4 Plus,2/6/2024 DAY,5,0,9,7,,,
Pick 4 Plus,2/6/2024 EVE,0,4,0,8,,,
Pick 4 Plus,2/5/2024 DAY,6,3,2,6,,,
Pick 4 Plus,2/5/2024 EVE,6,9,9,4,,,
Pick 4 Plus,2/4/2024 DAY,8,5,1,5,,,
Pick 4 Plus,2/4/2024 EVE,2,6,7,4,,,
Pick 4 Plus,2/3/2024 DAY,9,8,6,9,,,
Pick 4 Plus,2/3/2024 EVE,4,6,9,2,,,
Pick 4 Plus,2/2/2024 DAY,6,3,6,1,,,
Pick 4 Plus,2/2/2024 EVE,2,2,7,4,,,
Pick 4 Plus,2/1/2024 DAY,2,3,4,1,,,
Pick 4 Plus,2/1/2024 EVE,4,6,7,7,,,
